candidate_id,rank,score,reasoning
CAND_0006557,87,0.5571,"NLP Engineer at Paytm, 7.9 yrs total; covers 2/4 must-have areas via Vector Search, Qdrant, FAISS; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.76 [resp=0.63 dem=0.81 avail=0.93 close=0.70 trust=0.74], notice 120d (×0.72 penalty)."
CAND_0065430,88,0.5466,"ML Engineer at Mad Street Den, 4.4 yrs total; covers 3/4 must-have areas via Milvus, Semantic Search, MLflow; based in Mumbai, Maharashtra. Concerns: behavioral=0.67 [resp=0.71 dem=0.34 avail=1.00 close=0.63 trust=0.66]."
CAND_0080051,89,0.5419,"Data Scientist at Niramai, 5.2 yrs total; covers 2/4 must-have areas via Information Retrieval, MLflow, NLP; based in Gurgaon, Haryana. Concerns: behavioral=0.60 [resp=0.50 dem=0.41 avail=0.64 close=0.63 trust=0.91]."
CAND_0040443,90,0.5394,"Analytics Engineer at upGrad, 7.2 yrs total; covers 2/4 must-have areas via Qdrant, MLflow, Vector Search; some eval-framework language in profile; abroad but open to relocating. Concerns: behavioral=0.60 [resp=0.44 dem=0.47 avail=0.62 close=0.79 trust=0.77]."
CAND_0016163,91,0.5378,"Applied ML Engineer at Dream11, 6.7 yrs total; covers 2/4 must-have areas via Pinecone, Embeddings, Weaviate; based in Gurgaon, Haryana. Concerns: behavioral=0.76 [resp=0.83 dem=0.42 avail=0.93 close=0.72 trust=0.94], notice 120d (×0.72 penalty)."
CAND_0011327,92,0.5300,"AI Research Engineer at Krutrim, 6.3 yrs total; covers 3/4 must-have areas via MLflow, Semantic Search, OpenSearch; frequent short stints (~1.2y avg); based in Gurgaon, Haryana. Concerns: behavioral=0.81 [resp=0.85 dem=0.71 avail=0.98 close=0.61 trust=0.95]."
CAND_0040946,93,0.5274,"AI Research Engineer at TCS, 6.0 yrs total; covers 3/4 must-have areas via MLflow, Qdrant, Image Classification; based in Pune, Maharashtra. Concerns: behavioral=0.56 [resp=0.28 dem=0.30 avail=1.00 close=0.68 trust=0.65]."
CAND_0033445,94,0.5262,"ML Engineer at Vedantu, 6.8 yrs total (4.5 yrs ML-relevant); covers 3/4 must-have areas via BM25, Semantic Search, Information Retrieval; in Ahmedabad, Gujarat, not relocating. Concerns: behavioral=0.77 [resp=1.00 dem=0.36 avail=1.00 close=0.52 trust=0.94]."
CAND_0026532,95,0.5247,"Recommendation Systems Engineer at Zomato, 4.8 yrs total; covers 2/4 must-have areas via Embeddings, Information Retrieval, Milvus; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.65 [resp=0.52 dem=0.67 avail=0.64 close=0.68 trust=0.81], notice 90d (×0.80 penalty)."
CAND_0017093,96,0.5200,"ML Engineer at Zoho, 5.9 yrs total; covers 3/4 must-have areas via Embeddings, BM25, Learning to Rank; based in Hyderabad, Telangana. Concerns: behavioral=0.59 [resp=0.53 dem=0.59 avail=0.84 close=0.53 trust=0.42]."
CAND_0091552,97,0.5170,"Software Engineer at Zomato, 7.8 yrs total; covers 2/4 must-have areas via MLflow, Recommendation Systems, PyTorch; stable tenure (~3.2y avg); based in Bangalore, Karnataka. Concerns: behavioral=0.67 [resp=0.72 dem=0.24 avail=1.00 close=0.70 trust=0.69]."
CAND_0056264,98,0.5168,"Backend Engineer at Nykaa, 6.5 yrs total; covers 3/4 must-have areas via OpenSearch, Learning to Rank, MLflow; based in Noida, Uttar Pradesh. Concerns: behavioral=0.45 [resp=0.16 dem=0.10 avail=0.82 close=0.72 trust=0.56]; low response rate 0.19."
CAND_0016659,99,0.5163,"ML Engineer at Glance, 4.4 yrs total; covers 2/4 must-have areas via Information Retrieval, Weaviate, Pinecone; in Coimbatore, Tamil Nadu, not relocating. Concerns: behavioral=0.81 [resp=0.95 dem=0.59 avail=1.00 close=0.78 trust=0.69]."
CAND_0024147,100,0.5163,"ML Engineer at Ola, 5.9 yrs total; covers 2/4 must-have areas via Qdrant, Learning to Rank, OpenSearch; in Jaipur, Rajasthan, not relocating. Concerns: behavioral=0.70 [resp=0.84 dem=0.65 avail=0.68 close=0.52 trust=0.80]."
